data_year,edition_year,source_order,iso3,country_name,source_country_name,rank,tied_rank,score,military_expenditure_index,military_personnel_index,heavy_weapons_index,trend_reference_year,score_change_2y,score_change_2y_pct,quality_flag,source_dataset_version,source_variables,row_sha256
2022,2023,47,NOR,Norway,Norway,47,0,127.0,1.14,0.46,1.88,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,bfdd09e1afed9cf92108811b43ba9c92b8c5daa08c6d73a18ba39953c1499cbf
2022,2023,48,LKA,Sri Lanka,Sri Lanka,48,0,123.0,1.18,1.39,0.79,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,b83e96b2392edc96c6730da060076cffa27d3016205479eca4e5b12248b6b9eb
2022,2023,49,COG,Republic of the Congo,"Congo, Republic of",49,0,123.0,1.38,0.93,1.05,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,974b1c9b3add79bb5440320ec64af3da05c3079c1330e4ec96a0b6aca28fcb4c
2022,2023,50,AGO,Angola,Angola,50,0,122.0,1.2,0.93,1.2,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,438165382321250bfdf51fb43adae3aa20b29e2b5e58522cbddbc8c4fc0a0516
2022,2023,51,BDI,Burundi,Burundi,51,0,121.0,1.68,1.09,0.55,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,1fc366e010387fd552a48b1651a94b9034be40a38376f21c83635415673871c4
2022,2023,52,FRA,France,France,52,0,118.0,1.25,0.46,1.53,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,b225f24a6d4829c242e7451526c9b3bf256ce3896d222fdd9b099540b69d6619
2022,2023,53,MLI,Mali,Mali,53,0,118.0,1.83,0.85,0.56,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,616b05406e1d5c8273da1ff4cdf85761a2fee874fcfa6c4d0cd79d3b52d52062
2022,2023,54,KGZ,Kyrgyzstan,Kyrgyzstan,54,0,118.0,1.16,0.39,1.68,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,334d15762decaa1a1f3c8adab7f81aeb2104b5e027fc9a47a6fb44c450f465cb
2022,2023,55,CHL,Chile,Chile,55,0,117.0,1.24,0.58,1.39,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,dbd98e546be817cab961322e2e1b0a0312ae7b8133a02791e4c29e58f8f4c9e4
2022,2023,56,AUS,Australia,Australia,56,0,116.0,1.25,0.24,1.69,,,,secondary_snapshot_cc_by_sa_official_reference_locked,Wikipedia oldid 1359299505 / BICC GMI ranking year 2022,published_rank|gmi|military_expenditure_index|people_index|heavy_weapons_index,2ce748376d813a25aae6e22937198c0a1a90cc95b72a5802b59c5b51bdc3d130
